temp,hum_air,hum_soil,hour,target_action
17.3,74.23,41.79,22,0
15.58,94.32,36.0,20,0
17.78,53.37,25.3,0,0
35.14,89.3,39.87,14,2
38.69,66.06,46.16,14,2
36.33,85.77,9.52,11,2
28.9,40.2,34.55,10,1
41.82,78.36,11.29,12,2
14.07,83.45,18.63,21,0
38.02,83.25,39.95,13,2
24.83,79.93,57.37,7,0
25.65,46.29,58.32,9,0
15.83,61.54,11.99,23,0
13.0,45.98,31.89,5,0
21.5,49.01,41.23,21,0
17.25,46.09,16.38,0,0
26.5,44.9,51.63,6,0
16.42,73.54,50.42,0,0
16.14,70.52,59.49,20,0
38.31,39.3,8.48,11,2
39.64,73.41,20.35,14,2
40.93,45.37,55.15,13,2
32.42,39.12,46.22,13,2
35.13,77.31,58.98,11,2
37.07,50.4,11.26,14,2
31.77,64.85,42.03,12,0
21.91,39.01,40.44,23,0
16.69,67.96,10.03,21,0
19.12,39.56,37.27,1,0
37.21,36.68,42.74,12,2
32.88,52.06,18.9,12,2
25.67,80.3,23.58,16,1
12.88,37.36,44.5,2,0
19.99,33.19,34.69,3,0
33.87,27.22,56.91,13,2
27.37,54.12,27.52,18,0
25.07,44.74,23.2,17,1
21.41,45.45,64.14,23,0
30.21,93.74,59.93,10,0
40.99,38.59,9.65,14,2
39.03,57.09,51.93,14,2
12.91,94.05,14.29,21,0
26.43,27.14,9.57,6,1
21.88,73.77,23.6,2,0
27.32,50.98,23.35,16,1
30.19,88.43,54.7,14,0
18.0,88.84,48.51,21,0
35.45,52.1,63.95,13,2
26.25,40.5,48.56,16,0
41.76,54.96,31.84,14,2
12.75,92.57,47.84,23,0
17.69,44.7,64.97,5,0
32.69,93.69,48.48,12,2
32.86,82.36,51.42,11,2
29.47,43.72,61.49,15,0
41.16,80.37,14.48,11,2
24.46,28.49,48.17,9,0
24.51,63.36,56.5,7,0
39.31,50.01,62.4,11,2
28.15,54.89,20.03,15,1
22.61,58.1,36.72,9,0
33.57,60.19,46.79,14,2
30.59,70.95,22.11,11,1
21.19,73.77,42.23,20,0
20.94,93.3,22.68,5,0
23.87,78.39,27.01,8,1
14.15,73.15,33.17,20,0
40.28,52.47,38.16,13,2
17.49,33.25,33.61,21,0
17.81,29.12,36.11,3,0
31.41,58.44,25.02,9,1
33.73,71.78,17.06,12,2
34.11,70.51,10.7,14,2
23.25,91.7,19.17,16,1
38.2,51.77,41.17,14,2
28.32,68.94,52.81,14,0
25.16,87.15,17.65,16,1
36.31,53.29,14.19,11,2
19.31,58.44,50.71,22,0
37.81,89.61,25.39,11,2
28.16,63.52,62.24,9,0
39.0,80.97,48.72,11,2
18.05,90.49,26.63,1,0
40.08,64.97,24.5,11,2
32.64,32.64,37.85,11,2
30.55,82.52,12.51,11,1
24.66,82.24,14.71,8,1
40.69,33.05,18.02,14,2
25.32,63.37,52.16,8,0
26.96,59.1,37.29,8,0
35.44,84.3,8.6,12,2
20.55,44.22,46.39,20,0
20.74,54.84,32.15,21,0
35.26,67.34,37.12,12,2
15.86,61.21,20.2,0,0
36.69,91.85,39.45,14,2
30.76,92.25,63.81,9,0
28.17,30.71,12.19,14,1
18.87,45.85,24.18,4,0
35.59,25.53,21.85,14,2
36.15,54.25,22.17,14,2
26.49,71.35,29.59,7,1
23.68,57.99,54.63,19,0
19.38,29.7,60.03,21,0
34.63,38.72,19.53,12,2
31.18,37.13,38.95,15,0
18.2,60.78,44.3,5,0
35.83,72.44,37.74,13,2
38.47,47.14,32.74,12,2
13.78,34.13,18.94,1,0
35.17,80.9,35.83,14,2
37.58,85.09,30.87,13,2
41.75,44.35,53.35,14,2
19.13,54.45,51.53,0,0
23.13,30.74,15.64,9,1
40.99,40.94,13.05,12,2
14.82,78.69,59.76,5,0
27.71,50.56,38.52,16,0
27.2,67.33,56.89,16,0
30.2,91.23,11.31,13,1
21.92,75.65,38.01,5,0
39.78,56.74,38.75,11,2
20.1,50.68,57.06,1,0
31.49,38.34,13.56,9,1
26.88,77.93,21.71,7,1
20.0,32.87,31.17,22,0
17.67,29.3,57.35,23,0
40.7,32.34,61.52,12,2
28.84,42.0,64.59,16,0
30.13,68.9,62.67,16,0
35.49,85.29,8.34,12,2
14.44,94.48,10.72,20,0
33.41,76.2,16.41,12,2
16.95,35.22,27.89,23,0
34.21,44.44,55.31,14,2
16.24,34.24,58.88,22,0
36.97,33.09,18.65,13,2
32.43,64.74,43.32,11,2
23.58,88.47,60.29,18,0
22.77,72.9,34.43,9,1
16.47,81.05,13.9,21,0
39.12,60.57,34.1,11,2
15.56,58.27,29.42,23,0
26.16,90.62,40.93,6,0
19.1,75.54,33.0,21,0
41.89,57.15,8.99,13,2
29.58,48.28,64.66,9,0
16.49,31.52,38.98,22,0
32.03,82.47,35.0,14,2
41.75,36.85,62.41,11,2
30.15,61.05,16.88,15,1
25.72,69.61,18.79,17,1
20.8,77.09,54.06,20,0
14.76,30.83,22.87,20,0
18.85,25.75,53.56,0,0
28.61,74.42,23.48,13,1
34.61,56.81,9.89,11,2
38.34,37.68,37.47,13,2
35.81,93.74,19.21,12,2
15.76,80.39,51.2,21,0
35.2,65.5,44.55,13,2
29.45,74.15,60.65,16,0
26.07,35.85,52.63,19,0
29.18,92.36,18.3,9,1
12.24,94.75,53.61,4,0
14.03,70.39,44.58,23,0
27.78,71.78,46.13,9,0
17.21,74.31,55.44,23,0
28.37,71.61,40.71,10,0
22.63,55.7,34.56,8,1
39.22,62.85,44.29,11,2
40.49,44.79,24.98,14,2
41.39,56.28,18.41,13,2
38.97,55.53,43.15,11,2
41.58,45.17,21.33,13,2
33.18,80.07,12.56,14,2
40.82,53.68,8.03,12,2
31.25,63.62,42.67,16,0
36.28,35.93,28.64,11,2
15.96,58.25,50.88,21,0
32.48,78.3,29.39,11,2
39.93,56.12,35.7,12,2
28.2,64.04,31.2,16,1
17.6,74.12,45.08,1,0
27.81,52.23,28.3,17,1
33.21,49.73,62.93,14,2
35.09,31.0,61.36,14,2
27.71,65.76,56.34,7,0
18.52,74.49,60.46,20,0
39.8,65.69,33.6,12,2
35.21,44.85,38.58,12,2
20.12,43.36,50.3,23,0
36.35,36.16,47.68,14,2
22.44,28.29,58.77,9,0
21.37,54.88,48.83,21,0
37.89,36.24,64.88,14,2
38.2,73.36,27.86,12,2
23.95,92.32,55.48,16,0
12.27,30.14,47.77,20,0
17.6,87.51,47.41,20,0
39.28,71.04,26.57,14,2
38.96,85.22,52.78,11,2
25.6,35.85,59.32,7,0
21.12,88.45,20.46,21,0
21.08,92.05,43.65,20,0
38.92,88.47,30.35,13,2
21.74,79.98,64.4,1,0
27.35,31.32,35.29,7,0
33.93,40.45,21.01,12,2
18.28,88.92,29.77,4,0
19.62,41.06,45.27,3,0
22.74,49.34,12.34,7,1
31.63,28.53,42.41,12,0
36.52,68.97,61.08,14,2
28.4,64.43,56.47,14,0
15.99,92.32,11.86,2,0
25.39,87.46,64.62,8,0
15.83,60.42,47.83,3,0
14.65,67.65,17.25,21,0
29.69,53.92,8.71,13,1
40.69,34.27,17.76,11,2
37.13,85.75,55.78,14,2
35.23,63.47,9.23,14,2
33.81,54.78,21.29,11,2
38.91,29.79,51.17,12,2
34.59,71.58,41.41,13,2
30.81,52.98,52.62,14,0
22.94,42.76,50.53,16,0
15.03,86.37,10.88,20,0
25.83,37.85,58.87,19,0
39.74,61.05,20.94,11,2
29.49,80.7,39.54,15,0
17.54,84.44,44.72,21,0
31.47,82.31,17.61,15,1
25.96,87.76,63.65,18,0
39.94,34.97,35.82,12,2
16.83,90.83,11.29,5,0
33.36,25.76,61.42,13,2
32.45,42.91,41.42,11,2
41.51,30.88,47.85,12,2
28.95,91.19,37.94,12,0
38.15,54.68,55.58,13,2
12.74,47.07,9.89,0,0
15.69,36.7,23.3,0,0
22.38,35.91,34.77,9,1
30.58,67.98,12.37,13,1
25.47,28.3,48.24,18,0
18.08,66.6,30.44,21,0
29.68,79.23,23.54,11,1
29.0,67.07,8.19,10,1
27.73,82.86,49.03,17,0
14.72,43.57,55.53,2,0
39.81,30.4,30.52,14,2
29.77,75.47,40.16,12,0
19.92,82.97,20.98,3,0
32.62,60.12,43.47,14,2
21.54,82.44,8.69,2,0
27.18,57.05,35.85,9,0
22.23,38.9,44.72,9,0
38.41,58.21,60.34,11,2
41.82,40.12,29.74,12,2
16.84,58.04,51.62,4,0
12.71,35.33,42.07,2,0
18.58,37.99,60.84,21,0
29.7,86.8,30.71,14,1
17.22,33.11,26.19,21,0
36.34,40.7,58.57,13,2
24.26,94.69,10.81,9,1
30.32,65.32,15.77,15,1
25.67,66.01,12.7,19,0
39.1,84.15,56.06,14,2
13.05,61.7,8.6,1,0
33.88,40.52,57.11,11,2
31.57,54.57,33.72,10,1
31.49,77.85,8.23,15,1
24.42,86.07,30.89,8,1
12.47,44.12,18.65,20,0
32.68,43.34,43.59,13,2
36.88,47.93,46.72,13,2
14.56,66.73,35.79,21,0
25.25,44.5,10.31,16,1
16.88,87.52,45.4,0,0
30.33,93.46,56.0,15,0
35.57,72.54,49.06,12,2
32.0,92.92,55.31,10,2
21.54,45.15,19.43,2,0
16.19,82.06,58.67,1,0
35.83,72.49,26.37,11,2
21.72,43.42,8.76,21,0
12.66,47.29,56.07,20,0
29.14,59.2,61.68,14,0
19.4,80.42,45.37,21,0
37.24,86.06,21.19,12,2
16.3,69.38,22.35,1,0
25.04,75.51,34.6,6,1
19.59,43.47,59.18,3,0
32.69,76.88,16.53,11,2
28.46,67.35,55.08,13,0
35.73,40.6,24.6,11,2
25.76,91.51,54.09,19,0
12.14,60.9,60.46,1,0
18.46,80.61,32.37,23,0
41.97,61.79,28.81,13,2
24.16,90.31,53.73,18,0
30.61,34.89,38.18,12,0
39.15,63.23,47.01,14,2
12.62,26.76,43.5,1,0
31.79,38.82,16.71,15,1
20.65,44.67,56.15,0,0
20.38,58.08,19.16,22,0
18.75,82.41,61.14,22,0
36.68,57.67,22.28,12,2
23.19,64.28,49.83,17,0
14.01,89.68,24.23,0,0
14.91,77.96,26.11,23,0
16.46,28.51,25.67,20,0
38.97,37.35,50.63,14,2
24.82,27.68,39.74,8,0
39.48,29.83,58.33,14,2
36.52,48.72,25.52,12,2
37.14,75.95,47.44,11,2
20.6,42.1,50.92,23,0
20.14,52.46,16.63,22,0
28.8,52.57,30.83,12,1
24.54,66.32,35.52,19,0
27.27,87.5,28.27,8,1
13.6,93.83,26.36,21,0
41.15,67.32,47.13,11,2
13.75,60.35,20.3,1,0
17.36,72.73,48.44,21,0
32.35,71.76,61.3,11,2
16.67,61.68,40.22,4,0
15.21,76.59,42.85,20,0
16.61,59.39,11.93,20,0
13.86,94.75,57.28,23,0
19.54,28.43,24.27,3,0
20.13,56.03,43.06,3,0
26.96,52.79,63.81,18,0
25.16,78.92,41.94,9,0
26.21,38.36,49.31,16,0
30.48,55.39,33.38,9,1
18.93,73.86,11.44,22,0
16.04,67.22,53.46,0,0
38.37,63.16,9.99,12,2
31.02,55.45,47.94,9,0
13.82,77.64,9.31,0,0
40.83,70.25,57.15,11,2
32.79,86.23,16.99,12,2
16.55,76.31,37.31,1,0
41.07,34.83,42.04,14,2
22.96,68.37,34.08,9,1
41.54,28.12,27.42,12,2
15.1,52.12,34.67,20,0
16.8,53.84,25.75,5,0
31.72,84.84,32.97,15,1
12.66,37.63,28.46,21,0
12.56,70.05,40.27,22,0
35.76,38.47,21.56,14,2
17.03,91.41,64.35,21,0
39.56,62.06,36.55,13,2
24.78,74.57,19.07,6,1
38.21,70.26,35.19,14,2
24.53,46.25,57.39,16,0
27.91,88.08,9.24,8,1
21.5,68.91,46.73,3,0
31.74,60.72,39.23,10,0
21.55,61.99,17.66,21,0
18.7,87.35,54.6,22,0
14.43,29.14,29.03,20,0
13.73,52.23,24.75,21,0
21.18,83.91,55.2,20,0
34.09,27.63,44.4,14,2
18.17,69.74,59.2,23,0
20.98,53.23,43.9,22,0
39.16,39.32,50.23,11,2
31.17,67.8,55.68,16,0
39.59,83.17,11.12,13,2
39.34,57.71,52.23,11,2
13.9,35.27,42.98,22,0
40.65,46.43,11.96,11,2
13.54,93.69,36.99,20,0
39.77,32.78,12.7,13,2
28.4,36.25,49.95,14,0
28.0,94.31,39.15,8,0
33.4,86.75,62.35,13,2
38.38,74.5,18.44,12,2
30.51,35.57,42.54,15,0
24.76,41.84,20.06,9,1
15.36,37.61,43.0,21,0
35.68,69.17,49.19,14,2
15.85,52.92,49.17,22,0
33.79,28.34,54.46,13,2
27.84,45.39,56.65,7,0
23.58,85.25,12.4,7,1
30.39,80.72,27.57,9,1
35.17,70.01,47.17,11,2
40.23,30.99,36.42,11,2
19.94,86.8,18.87,4,0
40.41,62.42,39.5,13,2
40.83,59.62,31.22,13,2
36.41,90.38,30.23,11,2
38.44,25.62,54.16,13,2
32.77,63.91,31.23,12,2
13.17,80.39,9.51,21,0
29.25,29.46,11.31,11,1
34.42,50.0,56.81,14,2
40.25,93.42,62.75,11,2
29.11,39.83,47.24,13,0
35.83,62.18,28.77,11,2
33.15,77.22,61.5,14,2
20.42,52.33,45.78,3,0
16.64,53.55,56.13,3,0
34.53,29.43,51.65,13,2
19.01,38.31,29.61,23,0
19.34,86.64,35.29,1,0
31.32,82.28,18.61,12,1
35.67,46.32,24.64,14,2
29.47,51.72,52.35,16,0
38.55,55.83,58.96,14,2
18.34,49.22,49.29,4,0
19.57,70.77,34.51,20,0
31.11,25.9,12.93,14,1
36.88,86.61,11.25,11,2
28.18,46.05,29.34,15,1
12.31,86.07,34.44,3,0
32.31,56.81,42.72,14,2
36.41,79.34,8.37,11,2
20.3,82.8,64.41,20,0
13.63,46.09,28.74,0,0
27.54,69.82,56.34,19,0
13.26,67.52,38.49,3,0
24.48,58.32,15.44,7,1
12.53,57.87,53.46,5,0
18.75,46.36,48.46,5,0
23.66,46.71,38.06,6,0
15.35,63.37,37.33,22,0
15.42,27.26,12.99,3,0
36.81,90.36,45.38,13,2
13.24,70.5,59.94,1,0
32.67,56.04,13.31,13,2
36.43,29.33,23.02,12,2
15.92,69.1,59.43,1,0
17.86,26.24,24.21,3,0
31.24,72.59,45.27,10,0
21.47,30.08,38.48,0,0
26.29,70.93,41.99,17,0
37.08,53.41,31.7,12,2
16.14,71.38,25.1,1,0
30.59,34.69,10.77,9,1
40.27,33.22,50.42,14,2
13.72,42.32,50.53,1,0
13.8,53.81,46.23,23,0
28.64,42.71,44.69,12,0
40.8,30.74,21.89,14,2
18.61,47.75,9.27,20,0
21.92,74.4,54.1,21,0
14.96,65.82,35.99,0,0
22.87,92.43,25.49,18,0
13.33,55.51,13.81,23,0
23.67,48.3,11.58,7,1
28.66,73.56,27.89,16,1
41.25,53.84,53.87,14,2
36.55,68.28,60.37,12,2
36.66,91.24,59.11,11,2
18.84,59.94,60.44,20,0
14.62,59.87,59.74,23,0
30.09,79.26,38.05,14,0
27.63,77.93,20.51,16,1
27.5,61.14,53.49,6,0
15.27,29.53,20.18,22,0
26.82,93.66,23.23,8,1
16.51,51.41,21.3,23,0
24.66,47.17,37.35,19,0
13.86,93.71,26.34,1,0
37.71,86.05,16.79,11,2
12.4,48.12,33.83,4,0
40.18,46.58,57.81,11,2
37.89,75.47,40.52,12,2
34.58,48.4,58.07,11,2
41.48,42.6,19.16,12,2
13.61,93.58,17.52,1,0
31.25,64.6,40.81,13,0
37.48,78.37,34.41,11,2
15.8,74.91,45.63,0,0
29.54,77.89,53.29,13,0
23.82,88.24,50.82,16,0
25.07,60.05,61.71,17,0
39.38,77.74,30.7,12,2
28.16,80.78,19.76,11,1
14.8,91.25,39.4,21,0
40.12,74.92,14.31,12,2
17.56,87.48,24.46,4,0
38.78,31.65,19.85,13,2
41.13,33.83,30.6,12,2
38.34,36.08,14.34,12,2
32.31,35.14,9.81,14,2
34.31,31.13,45.44,14,2
33.0,33.58,42.78,11,2
25.82,94.71,48.38,6,0
20.23,44.05,45.64,22,0
20.55,58.46,14.51,4,0
33.94,82.51,24.59,11,2
30.78,33.28,15.38,14,1
29.55,47.22,56.05,11,0
31.58,36.15,50.57,10,0
35.24,29.38,19.49,11,2
34.45,92.25,27.45,14,2
15.16,85.09,63.1,3,0
22.89,86.55,41.87,18,0
19.92,85.81,53.67,20,0
28.15,35.82,23.08,14,1
13.84,79.95,19.97,4,0
34.87,75.95,52.68,13,2
15.2,89.78,47.09,5,0
20.14,40.35,46.82,2,0
35.48,53.98,39.5,13,2
13.55,45.64,40.12,4,0
31.81,43.05,49.93,16,0
39.73,70.67,23.39,13,2
30.53,36.48,28.11,10,1
33.38,57.54,57.68,12,2
35.77,70.26,25.61,13,2
18.67,34.12,39.14,22,0
29.43,42.99,48.05,15,0
21.27,92.72,65.0,0,0
19.48,80.68,32.81,23,0
17.77,72.39,32.4,20,0
29.56,84.92,56.03,10,0
35.84,25.98,53.91,14,2
38.28,25.43,49.67,14,2
24.86,35.78,34.4,6,1
23.19,59.67,26.46,19,0
32.62,64.9,42.7,14,2
35.41,32.96,57.94,11,2
19.6,30.06,58.38,23,0
20.92,82.98,14.18,22,0
28.0,57.51,32.42,8,1
25.33,94.47,34.49,18,0
33.17,41.05,63.72,12,2
27.13,70.3,46.65,17,0
15.35,81.31,31.21,23,0
16.98,86.08,9.49,5,0
39.06,46.44,40.23,12,2
18.82,38.53,13.48,21,0
13.5,40.83,55.56,0,0
33.94,71.67,50.89,13,2
32.52,61.56,34.25,14,2
30.0,66.93,32.47,9,1
27.07,26.44,59.15,8,0
41.09,52.37,24.44,14,2
15.59,46.71,22.19,20,0
27.3,85.46,61.53,8,0
28.92,79.34,54.13,11,0
12.67,55.07,54.78,3,0
24.36,69.14,19.13,17,1
35.48,28.34,16.17,14,2
26.13,69.61,9.48,17,1
38.26,31.8,21.51,11,2
31.34,74.98,52.13,9,0
34.98,65.17,21.68,14,2
36.13,46.03,49.56,13,2
32.69,50.96,22.36,13,2
34.48,31.31,30.53,14,2
32.86,47.6,64.04,14,2
28.51,92.68,21.95,13,1
29.0,59.03,29.45,9,1
17.7,58.2,25.16,21,0
36.82,69.05,14.25,11,2
21.36,58.91,35.92,21,0
28.07,49.89,29.59,10,1
19.49,34.77,47.61,22,0
32.88,69.12,54.6,12,2
41.26,77.42,39.02,11,2
36.06,89.62,9.84,12,2
30.57,25.21,43.28,14,0
29.03,29.67,11.16,9,1
26.69,87.96,43.13,7,0
18.15,69.18,47.05,5,0
22.44,92.05,19.27,7,1
24.19,55.16,54.7,9,0
40.34,54.17,59.93,11,2
24.77,49.1,54.35,17,0
29.59,35.0,25.39,9,1
39.67,51.5,41.44,14,2
27.55,26.03,60.14,16,0
19.54,60.65,26.28,3,0
23.43,84.3,54.74,8,0
23.27,47.48,8.54,8,1
33.44,31.62,8.21,12,2
20.88,93.16,51.3,21,0
33.91,34.03,51.4,11,2
38.68,62.01,52.97,14,2
22.08,81.64,61.01,7,0
16.06,42.66,14.72,0,0
31.16,83.9,21.22,10,1
22.83,63.99,59.51,17,0
28.02,48.24,18.1,14,1
31.02,85.6,46.89,10,0
24.23,68.54,38.24,6,0
39.74,68.08,12.74,13,2
23.99,60.28,24.26,19,0
21.22,44.23,37.66,23,0
38.57,46.34,56.58,14,2
16.09,31.17,48.33,23,0
15.73,42.06,43.45,0,0
40.07,44.45,36.27,13,2
18.27,29.11,25.02,0,0
16.45,32.72,14.8,3,0
28.06,43.92,31.32,14,1
13.4,72.41,9.63,1,0
30.6,37.9,20.03,12,1
25.59,61.53,32.65,18,0
31.21,60.55,31.86,11,1
20.52,83.38,10.52,0,0
39.16,67.64,41.58,13,2
20.12,89.19,39.33,21,0
31.13,68.97,12.45,16,1
40.35,26.79,61.76,14,2
24.02,51.7,13.66,6,1
16.84,73.93,56.73,23,0
14.05,58.26,8.02,4,0
40.89,54.36,58.29,13,2
34.91,72.01,9.12,14,2
39.57,45.0,51.2,12,2
32.96,88.63,28.62,14,2
22.27,53.92,50.08,16,0
15.69,69.19,30.9,3,0
39.88,93.76,12.04,12,2
26.69,79.98,51.75,6,0
23.9,62.21,12.06,7,1
29.33,85.16,60.56,12,0
15.2,64.23,10.91,20,0
21.28,55.92,35.32,20,0
31.14,86.14,49.21,13,0
15.0,26.9,30.42,3,0
16.06,53.52,20.38,5,0
27.32,49.01,51.27,18,0
30.7,74.99,52.7,14,0
17.61,25.88,60.59,21,0
12.99,71.26,29.44,3,0
40.75,49.25,36.86,11,2
12.82,31.85,28.7,20,0
12.06,93.62,22.65,22,0
21.7,39.86,50.81,22,0
18.67,49.44,27.36,22,0
29.21,39.49,32.4,10,1
38.83,71.34,31.01,11,2
26.43,79.78,48.62,7,0
35.2,85.24,60.31,13,2
39.28,46.77,46.01,14,2
17.68,61.72,34.88,3,0
26.65,71.43,52.41,6,0
31.26,69.07,44.54,16,0
21.96,75.12,11.45,5,0
34.19,78.88,13.45,14,2
33.16,31.82,10.16,11,2
24.63,36.78,34.04,18,0
14.64,76.4,55.07,5,0
12.35,58.37,25.85,21,0
23.08,54.89,29.9,19,0
14.46,56.88,59.84,3,0
35.45,51.04,55.7,13,2
22.03,66.37,45.91,19,0
31.98,47.63,23.21,13,1
22.39,69.58,14.67,7,1
35.88,39.18,8.92,12,2
38.65,78.04,14.1,12,2
37.13,79.71,24.68,12,2
26.53,65.5,39.45,6,0
14.52,50.85,11.65,23,0
23.15,26.01,15.76,7,1
24.73,33.51,18.32,17,1
40.81,30.58,44.02,14,2
28.96,25.71,43.1,15,0
31.23,75.56,39.39,14,0
35.46,91.92,22.28,13,2
29.05,25.78,29.15,11,1
29.95,32.89,13.51,15,1
19.36,85.25,20.91,4,0
13.77,73.2,59.17,2,0
33.64,53.33,63.84,12,2
37.46,94.5,44.92,13,2
24.36,65.15,60.26,18,0
28.47,71.87,44.64,16,0
21.22,70.72,9.89,22,0
25.51,40.59,64.82,19,0
18.27,59.17,13.64,5,0
34.8,40.15,46.91,14,2
26.76,60.66,22.41,6,1
28.41,27.15,30.34,14,1
13.11,51.74,44.82,5,0
30.67,51.05,32.88,15,1
18.08,45.41,22.28,0,0
23.5,30.55,27.06,17,1
24.38,78.97,27.47,19,0
25.46,54.43,62.68,17,0
18.82,81.98,53.52,1,0
37.5,83.5,34.14,12,2
24.84,39.95,19.39,9,1
30.36,54.49,54.23,10,0
30.42,75.47,16.96,9,1
30.21,59.96,20.0,13,1
28.78,84.85,28.86,12,1
36.68,65.01,58.18,13,2
36.38,69.07,15.51,11,2
24.51,80.09,14.97,9,1
31.08,33.56,36.16,10,0
15.08,65.9,23.76,2,0
14.72,30.98,40.42,3,0
26.4,43.24,33.74,9,1
39.01,39.88,32.79,14,2
31.5,64.7,14.38,13,1
32.08,84.07,16.04,11,2
16.73,34.3,54.8,3,0
25.6,78.79,58.5,7,0
24.02,35.01,21.38,6,1
35.49,38.28,14.47,14,2
16.13,89.19,11.04,23,0
28.18,25.68,42.67,13,0
39.34,38.8,48.78,14,2
38.77,40.09,29.25,12,2
37.57,44.73,46.74,13,2
23.25,50.44,48.64,8,0
40.23,32.22,61.31,11,2
36.16,57.79,11.7,13,2
37.53,52.95,18.96,12,2
39.97,68.75,11.91,12,2
40.11,85.73,57.48,11,2
19.2,45.84,53.18,4,0
15.83,63.25,40.75,1,0
32.73,51.0,12.77,12,2
28.9,27.82,23.58,13,1
21.82,82.48,24.97,2,0
32.53,69.4,39.96,14,2
13.86,25.15,22.71,3,0
13.42,42.47,12.16,1,0
22.63,46.63,49.65,17,0
17.82,81.81,25.05,0,0
33.56,78.25,33.79,12,2
40.44,52.73,15.28,11,2
31.85,36.01,53.75,16,0
31.64,52.02,40.24,16,0
12.2,81.71,59.39,22,0
27.37,56.67,36.24,9,0
36.51,33.11,61.66,13,2
31.62,27.7,58.84,16,0
18.83,48.33,40.86,0,0
37.45,35.39,61.23,11,2
40.93,77.15,26.42,11,2
20.37,44.51,28.84,23,0
18.21,86.42,10.59,5,0
22.16,68.21,41.58,7,0
13.89,52.56,49.15,20,0
38.2,67.7,52.09,13,2
39.88,45.66,16.54,14,2
31.0,34.89,33.32,13,1
34.93,92.49,18.08,11,2
32.06,64.42,45.74,11,2
23.32,25.51,17.0,6,1
30.96,46.72,59.54,13,0
37.09,36.17,21.15,13,2
36.3,43.07,24.61,12,2
14.43,28.9,56.5,2,0
25.88,42.16,34.13,6,1
23.92,72.81,9.37,8,1
34.56,82.44,36.19,13,2
27.04,49.32,12.82,18,0
22.49,61.57,64.16,9,0
33.19,27.93,41.52,14,2
26.21,31.36,22.62,17,1
19.7,63.63,40.13,0,0
38.71,83.84,12.38,14,2
15.39,31.16,53.59,20,0
12.54,54.3,60.74,21,0
16.32,92.93,57.84,23,0
16.91,76.72,27.48,4,0
28.14,38.83,26.57,15,1
30.75,44.96,10.0,9,1
